matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
1,England,Trinidad and Tobago,Pool,ALLISON Imogen,,,C,C,18,,,,8,10,,1,1,,,,1,,,,,,
1,England,Trinidad and Tobago,Pool,CARDWELL Eleanor,,,GS,GS,30,30,30,100,2,2,,,,,,,,2,2,,,,
1,England,Trinidad and Tobago,Pool,CLARKE Jade,WD,WD,C,,37,,,,4,8,1,3,1,2,,,2,2,,,,,
1,England,Trinidad and Tobago,Pool,DRAKEFORD-LEWIS Sophie,,,WA,GA,30,3,4,75,12,16,13,,,1,,,4,3,1,,,1,1
1,England,Trinidad and Tobago,Pool,FRANCIS-BAYMAN Stacey,,WD,WD,GD,35,,,,,,4,3,2,2,,,3,4,2,,,,
1,England,Trinidad and Tobago,Pool,GUSCOTH Layla,GD,GD,GD,GD,45,,,,,,2,4,1,8,,,3,5,2,,,,
1,England,Trinidad and Tobago,Pool,HARTEN Joanne,GS,GS,GS,,30,25,30,83,2,3,,1,1,,1,,,1,,,,,
1,England,Trinidad and Tobago,Pool,HOUSBY Helen,GA,GA,GA,GA,45,16,24,67,8,10,16,1,1,2,2,,3,1,,,2,,
1,England,Trinidad and Tobago,Pool,MALCOLM Laura,C,C,C,WD,45,,,,12,24,1,4,1,3,,,4,2,1,1,2,,
1,England,Trinidad and Tobago,Pool,MENTOR Geva,GK,GK,GK,,30,,,,,,,5,2,1,,3,3,3,4,,,,
1,England,Trinidad and Tobago,Pool,METCALF Natalie,WA,WA,WA,WA,45,,,,19,32,10,,,,,,,3,2,,1,,
1,England,Trinidad and Tobago,Pool,USORO-BROWN Eboni,,,GK,GK,30,,,,,,,2,,4,,1,5,3,2,,,,
1,Trinidad and Tobago,England,Pool,BAPTISTE Aniecia,GD,GD,GD,GD,54,,,,,,17,2,2,6,,,,4,6,,1,1,
1,Trinidad and Tobago,England,Pool,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
1,Trinidad and Tobago,England,Pool,CASSIMY Janeisha,WD,C,WD,WD,60,,,,3,3,3,1,1,,,,4,4,,2,,,2
1,Trinidad and Tobago,England,Pool,COOPER Joelisa,GA,GA,GA,GA,55,10,13,77,8,12,1,,,,,,3,1,,,2,2,
1,Trinidad and Tobago,England,Pool,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
1,Trinidad and Tobago,England,Pool,DOUGLAS Oprah,C,C,C,C,47,,,,1,7,,,,,,,3,1,1,1,,1,
1,Trinidad and Tobago,England,Pool,GREENE Shaquanda,GK,GK,GK,GK,60,,,,,,,9,,4,,5,8,15,8,,,,2
1,Trinidad and Tobago,England,Pool,HAGLEY Faith,,WA,,,7,,,,,,1,,,,,,,,,1,1,,
1,Trinidad and Tobago,England,Pool,HOLLINGSWORTH Tahirah,,GA,GA,,9,,,,,,1,,,,,,,,,,,,
1,Trinidad and Tobago,England,Pool,MCEACHRANE Jeresia,,WD,WD,GD,19,,,,,,2,1,,1,,1,1,4,1,,2,,
1,Trinidad and Tobago,England,Pool,NOEL Afeisha,GS,GS,GS,GS,56,12,15,80,1,1,,,,,1,,,2,,,1,1,
1,Trinidad and Tobago,England,Pool,SEEMUNGAL Shantel,WA,WA,WA,WA,53,,,,7,14,10,,,,,,,,1,,4,,
2,Australia,Barbados,Pool,ARYANG Sunday,,,WD,WD,30,,,,,,,2,2,2,,,,2,,,,,
2,Australia,Barbados,Pool,AUSTIN Kiera,,,GA,WA,30,6,6,100,17,20,11,1,1,1,,,1,,1,,1,,
2,Australia,Barbados,Pool,BRAZILL Ashleigh,WD,WD,C,C,45,,,,5,5,1,3,3,3,,,1,4,,,1,,
2,Australia,Barbados,Pool,BRUCE Courtney,GK,GK,GD,GD,45,,,,,,1,10,4,2,,3,5,6,4,,,,
2,Australia,Barbados,Pool,BUETA Gretel,GS,GS,GS,,30,44,48,92,,1,,1,,,2,,1,,,,2,,
2,Australia,Barbados,Pool,HADLEY Paige,,,,,,,,,,,,,,,,,,,,,,,
2,Australia,Barbados,Pool,KLAU Sarah,,,GK,GK,30,,,,,,,5,1,3,,2,9,,,,,,
2,Australia,Barbados,Pool,KOENEN Cara,,,GS,GS,30,35,38,92,1,3,,2,1,1,2,,1,1,,,2,,
2,Australia,Barbados,Pool,MOLONEY Kate,C,C,C,C,45,,,,14,32,,2,2,3,,,1,9,3,1,,,
2,Australia,Barbados,Pool,WATSON Liz,WA,WA,WA,WA,45,,,,29,47,24,2,1,,,,3,3,,,,1,
2,Australia,Barbados,Pool,WESTON Joanna,GD,GD,GD,GD,45,,,,,1,5,6,4,2,,1,1,2,4,1,,,
2,Australia,Barbados,Pool,WOOD Steph,GA,GA,GA,GA,45,10,15,67,27,29,13,,,,1,,3,,,,,,
2,Barbados,Australia,Pool,AGARD Faye Yvette,,GK,GS,GS,33,4,7,57,,,,,,,1,,2,4,4,,2,1,
2,Barbados,Australia,Pool,AZORE-BRUCE Shonette Teshome Rashan,GK,GK,GK,GK,46,,,,,,,5,1,3,,4,4,9,4,,,,
2,Barbados,Australia,Pool,BLACKMAN Latonia Natasha Carolann,GD,GA,GA,GA,60,6,8,75,3,6,12,1,,1,,1,2,,1,,3,2,
2,Barbados,Australia,Pool,BOBB Vanessa Naomi,WD,WD,WD,,30,,,,1,1,5,1,1,,,,2,3,,,,,
2,Barbados,Australia,Pool,BROWNE Samantha Terri-ann Olivia,WA,WA,WD,WD,30,,,,2,5,7,,,,,,3,2,,,,,
2,Barbados,Australia,Pool,HOLDER Brianna Makala,GA,WA,WA,GS,49,2,3,67,5,16,9,,,,1,,,2,,2,1,1,
2,Barbados,Australia,Pool,KIRTON Zakiya Winet,,,,WD,15,,,,,,7,,,,,,1,1,,,,,
2,Barbados,Australia,Pool,ROCK-YAW Tonisha Claradine,C,C,C,C,60,,,,3,11,,,,2,,,2,6,,,3,1,
2,Barbados,Australia,Pool,SHEPHERD Stephian Onesia Briana,,,,,,,,,,,,,,,,,,,,,,,
2,Barbados,Australia,Pool,SMITH Sabreena Natasha,,,,WA,15,,,,2,6,2,,,,,,1,1,,,2,,
2,Barbados,Australia,Pool,STOUTE Akeena Kelicia,,GD,GD,GD,45,,,,,,6,2,1,2,,1,,12,2,,3,,
2,Barbados,Australia,Pool,WHARTON Shonica Deandra,GS,GS,GS,,37,6,13,46,1,1,,,,,,,,1,,,1,1,
3,New Zealand,Northern Ireland,Pool,CRAMPTON Gina,WA,WA,WA,WA,30,,,,18,20,9,1,1,1,,,,,,,,,1
3,New Zealand,Northern Ireland,Pool,FITZPATRICK Sulu,GK,GD,GD,GK,45,,,,,,,6,,1,,4,5,1,2,,,,
3,New Zealand,Northern Ireland,Pool,HEFFERNAN Kate,,WD,C,C,30,,,,9,11,1,,,1,,,1,6,,,,,
3,New Zealand,Northern Ireland,Pool,JOHNSON Kayla,WD,WD,WD,WD,45,,,,,,3,3,1,2,,,3,7,2,,,,
3,New Zealand,Northern Ireland,Pool,JURY Kelly,,GK,GK,GK,30,,,,,,,6,3,3,,,3,6,3,,,,
3,New Zealand,Northern Ireland,Pool,KARAKA Phoenix,GD,GD,GD,GD,45,,,,,,,1,,1,,1,,7,5,,,,
3,New Zealand,Northern Ireland,Pool,MES Bailey,,GA,GA,GA,30,5,13,38,13,13,6,,,1,5,,2,3,3,,,,1
3,New Zealand,Northern Ireland,Pool,NWEKE Grace,GS,GS,GS,GS,30,29,31,94,,,,,,,3,,,1,,,,,
3,New Zealand,Northern Ireland,Pool,SAUNDERS Shannon,C,WA,WA,WA,45,,,,13,21,8,,,,,,1,4,,,,,
3,New Zealand,Northern Ireland,Pool,SELBY-RICKIT Te Paea,GA,GA,,GS,30,25,27,93,3,4,4,,,,4,,,,,,,,
3,New Zealand,Northern Ireland,Pool,SOUNESS Whitney,,C,C,C,30,,,,13,19,,3,1,1,,,2,3,1,,,,2
3,New Zealand,Northern Ireland,Pool,WILSON Maia,,GS,GA,GA,30,20,22,91,6,7,5,,,,1,,1,1,,,,,
3,Northern Ireland,New Zealand,Pool,BOWMAN Jenna,,GS,GS,GS,29,4,7,57,,1,,,,,1,,,1,1,,,,1
3,Northern Ireland,New Zealand,Pool,COOPER Niamh,WD,WD,C,WD,51,,,,,1,9,1,1,,,,,3,1,,,,
3,Northern Ireland,New Zealand,Pool,CROSBIE Ciara,GS,GS,GS,GS,42,9,16,56,1,3,1,,,,,,2,3,1,,,,1
3,Northern Ireland,New Zealand,Pool,DRAYNE Michelle,,WA,WA,WA,30,,,,5,13,4,,,,,,,1,,1,2,,
3,Northern Ireland,New Zealand,Pool,KEENAN Frances,WA,WA,,C,30,,,,2,7,,,,,,,2,4,,,,1,
3,Northern Ireland,New Zealand,Pool,MAGEE Emma,GA,GA,WA,GA,42,6,10,60,2,6,4,,,,,,,8,,1,,,
3,Northern Ireland,New Zealand,Pool,MAGEE Michelle,GK,GK,GD,GD,57,,,,,,5,1,1,2,,,1,11,7,,,,
3,Northern Ireland,New Zealand,Pool,MCCANN Maria,,,WD,GD,18,,,,,,5,,,,,,,2,2,,,,
3,Northern Ireland,New Zealand,Pool,MCDONALD Olivia,,,GK,GK,30,,,,,,,,,1,,,,3,10,,,,
3,Northern Ireland,New Zealand,Pool,MCGRATH Georgie,,,GA,GA,16,1,3,33,2,2,1,,,,,,,,,,1,2,
3,Northern Ireland,New Zealand,Pool,O'HANLON Caroline,C,C,C,C,45,,,,4,14,2,,,,,,1,4,4,,1,,
3,Northern Ireland,New Zealand,Pool,TONER Fionnuala,GD,GD,GD,,30,,,,,,7,2,1,2,,,1,11,,1,1,,
4,Jamaica,Wales,Pool,BECKFORD Shanice Horasha,,GA,GA,GA,30,8,12,67,10,11,15,,,1,,,1,,,,,,
4,Jamaica,Wales,Pool,DEHANEY Kadie-ann Alicia,,,GK,GK,22,,,,,,,3,,,,1,4,3,2,,,,
4,Jamaica,Wales,Pool,DIXON-ROCHESTER Nicole,C,C,C,C,45,,,,17,22,,1,1,2,,,,10,2,,2,,
4,Jamaica,Wales,Pool,FOWLER Jhaniele Karyl,GS,GS,GS,,30,32,33,97,3,4,,,,,3,,,,,,1,,
4,Jamaica,Wales,Pool,HEMMINGS Shadian Toni-ann,WD,WD,,WD,30,,,,,,3,,,2,,,,4,2,,,,
4,Jamaica,Wales,Pool,NELSON Shimona,,,GS,GS,30,29,29,100,,,,,,,2,,,,,,2,,
4,Jamaica,Wales,Pool,ROBINSON Rebekah Theresa,GA,GA,,GA,30,3,5,60,12,12,9,,,,,,2,2,,,2,2,
4,Jamaica,Wales,Pool,STERLING Shamera Shadae,GK,GK,GK,,38,,,,,,,4,2,5,,1,7,1,6,,,,
4,Jamaica,Wales,Pool,THOMAS Adean Tamesha,,,WA,C,30,,,,6,9,5,,,,,,,3,1,,1,1,
4,Jamaica,Wales,Pool,WARD Jodi-Ann,GD,WD,WD,WD,45,,,,,,2,1,,3,,,2,6,4,,1,,
4,Jamaica,Wales,Pool,WILLIAMS Khadijah Amoy,WA,WA,WA,WA,45,,,,22,24,15,,,,,,1,3,1,1,2,,
4,Jamaica,Wales,Pool,WILSON Latanya Amoy,,GD,GD,GD,45,,,,,,2,6,4,7,,2,,4,3,,,,1
4,Wales,Jamaica,Pool,CREAK Betsy,GA,GA,GS,GS,60,22,27,81,5,7,10,1,,2,1,,5,1,,,4,,
4,Wales,Jamaica,Pool,DRANE Suzy,C,C,C,,30,,,,5,7,,,,,,,2,2,,,1,,1
4,Wales,Jamaica,Pool,DYKE Bethan,WA,WA,C,,43,,,,13,17,12,,,2,,,2,6,2,1,1,,
4,Wales,Jamaica,Pool,JONES Clare,,,C,C,17,,,,4,7,,,,,,,,2,,,,1,
4,Wales,Jamaica,Pool,JONES Nia,WD,WD,WD,WD,60,,,,1,1,14,,,1,,,2,7,2,,3,,
4,Wales,Jamaica,Pool,O'DWYER Shona,,,WA,WA,30,,,,10,17,8,,,,,,1,1,,,1,,
4,Wales,Jamaica,Pool,POWELL-DAVIES Ella,GD,GD,GD,GD,45,,,,,,3,,,1,,,2,9,11,,,,
4,Wales,Jamaica,Pool,ROBERTS Eleanor,,,GA,GA,22,3,5,60,3,4,4,,,1,,,3,2,,,,,
4,Wales,Jamaica,Pool,ROWE Georgia,GS,GS,GS,,38,18,19,95,2,2,,,,1,,,,4,,,1,1,
4,Wales,Jamaica,Pool,SHAW Christina,GK,GK,GK,GD,60,,,,,,1,2,1,,,,5,7,3,,,,
4,Wales,Jamaica,Pool,THOMAS Leila,,,,GK,15,,,,,,,,,1,,,1,5,3,,,,
4,Wales,Jamaica,Pool,YARRANTON Phillipa,,,,,,,,,,,,,,,,,,,,,,,
5,Australia,Scotland,Pool,ARYANG Sunday,GD,GD,GD,GD,45,,,,,,3,7,2,3,,5,,6,,,1,,
5,Australia,Scotland,Pool,AUSTIN Kiera,GA,GA,GA,WA,45,10,13,77,13,13,12,2,,,1,,3,2,,,,,2
5,Australia,Scotland,Pool,BRAZILL Ashleigh,WD,WD,WD,C,45,,,,7,9,5,2,1,4,,,3,2,1,,,1,
5,Australia,Scotland,Pool,BRUCE Courtney,,,GK,GK,30,,,,,,,6,4,5,,,8,2,2,,,,
5,Australia,Scotland,Pool,BUETA Gretel,GS,GS,GA,GA,45,33,34,97,7,10,8,,,,1,,,,,,1,,
5,Australia,Scotland,Pool,HADLEY Paige,C,WA,,,14,,,,11,12,2,1,,,,,1,,,,,,
5,Australia,Scotland,Pool,KLAU Sarah,GK,GK,GK,,30,,,,,,,4,1,6,,1,4,3,1,,,,
5,Australia,Scotland,Pool,KOENEN Cara,,,GS,GS,30,36,37,97,2,1,,,,1,1,,,,,,,,
5,Australia,Scotland,Pool,MOLONEY Kate,C,C,C,WD,53,,,,10,12,3,3,,1,,,3,3,,,,,1
5,Australia,Scotland,Pool,WATSON Liz,WA,WA,WA,WA,38,,,,20,27,11,1,,1,,,2,2,1,1,2,,
5,Australia,Scotland,Pool,WESTON Joanna,,,WD,GD,30,,,,,,3,,,2,,,1,2,3,,,1,
5,Australia,Scotland,Pool,WOOD Steph,,,,GA,15,4,4,100,10,10,4,,,1,,,1,1,,,,,
5,Scotland,Australia,Pool,BARRIE Emma,,GS,GS,,23,7,8,88,,,,,,,,,,1,,,1,,
5,Scotland,Australia,Pool,BOYLE Kelly,,C,C,,23,,,,3,7,,,,,,,3,1,,,,,
5,Scotland,Australia,Pool,CHRISTIAN Iona,WA,WA,WA,WA,45,,,,13,24,16,,,,,,1,1,,,4,,
5,Scotland,Australia,Pool,CONWAY Rachel Olive,,GK,GK,GK,30,,,,,,,3,1,,,1,2,3,,,,,
5,Scotland,Australia,Pool,GOODWIN Beth,GS,GS,GS,GS,45,15,16,94,3,3,,,,,,,1,1,,,2,,2
5,Scotland,Australia,Pool,LEIGHTON Hannah,C,C,C,C,45,,,,6,9,1,1,,2,,,2,3,,,1,,
5,Scotland,Australia,Pool,LOVE Emma,,GA,WA,WA,30,2,4,50,3,4,11,,,1,,,4,2,,,1,,1
5,Scotland,Australia,Pool,MACPHAIL Sarah,,WD,GD,GD,30,,,,,,3,,,2,,,1,2,,,,,
5,Scotland,Australia,Pool,MAXWELL Claire,WD,WD,WD,WD,37,,,,,,6,,,,,,,6,1,,,,
5,Scotland,Australia,Pool,MCCALL Niamh,GA,GA,GA,GA,37,6,10,60,2,6,8,,,,,,,2,,,1,,
5,Scotland,Australia,Pool,NICHOLL Emily,GD,GD,GD,GD,45,,,,,,6,2,1,2,,,1,7,2,,1,,
5,Scotland,Australia,Pool,TAIT Lauren,GK,GK,,GK,30,,,,,,,3,,2,,,4,8,4,,,,
6,England,Malawi,Pool,ALLISON Imogen,,,,WD,16,,,,,,,2,1,1,,,2,3,,,,,
6,England,Malawi,Pool,CARDWELL Eleanor,GA,GA,,GS,46,31,33,94,3,5,6,1,,1,1,,1,3,,,3,,
6,England,Malawi,Pool,CLARKE Jade,C,C,WD,,42,,,,2,6,,,,2,,,1,2,,,,,
6,England,Malawi,Pool,DRAKEFORD-LEWIS Sophie,,,,WA,,,,,5,5,3,1,1,,,,,,1,,,,
6,England,Malawi,Pool,FRANCIS-BAYMAN Stacey,WD,WD,GD,GD,46,,,,,,8,2,2,3,,,2,7,1,1,,,
6,England,Malawi,Pool,GUSCOTH Layla,GD,GD,,GD,45,,,,,,1,5,2,4,,,4,11,4,,,,
6,England,Malawi,Pool,HARTEN Joanne,GS,GS,GS,GS,46,21,25,84,12,11,,,,,2,,2,,1,,,,
6,England,Malawi,Pool,HOUSBY Helen,,,GA,GA,30,14,18,78,4,7,15,1,,2,,,2,4,,,1,,
6,England,Malawi,Pool,MALCOLM Laura,,C,C,C,35,,,,7,13,,2,2,1,,,1,3,,,1,,1
6,England,Malawi,Pool,MENTOR Geva,GK,GK,GK,,46,,,,,,,3,1,2,,,7,9,3,,,,
6,England,Malawi,Pool,METCALF Natalie,WA,WA,WA,WA,53,,,,30,40,19,,,1,,,1,,,,1,1,
6,England,Malawi,Pool,USORO-BROWN Eboni,,,,GK,15,,,,,,,1,,1,,,2,3,,,,,
6,Malawi,England,Pool,CHIMALIRO Jane,,GA,,,16,4,5,80,2,2,3,1,,2,1,,2,1,,,,,
6,Malawi,England,Pool,DAMBO Martha,WD,WD,WD,WD,60,,,,,,4,3,1,,,,3,11,,,,,1
6,Malawi,England,Pool,DIMBA Shira,,,,,,,,,,,,,,,,,,,,,,,
6,Malawi,England,Pool,GALLETA Thandie Mwale,,,,,,,,,,,,,,,,,,,,,,,
6,Malawi,England,Pool,KUMWENDA Bridget,WA,WA,WA,WA,60,,,,8,12,8,1,,,,,3,5,1,1,,,1
6,Malawi,England,Pool,KUMWENDA Mwai Jasinta,GA,,GA,GA,46,18,21,86,4,4,15,,,,1,,1,,1,,3,,
6,Malawi,England,Pool,LWAZI Takondwa,C,C,C,C,60,,,,22,28,,,,3,,,2,5,,,1,,
6,Malawi,England,Pool,MTUKULE Caroline Brighton,GD,GD,,,28,,,,,,7,2,1,,,1,,5,1,,3,,
6,Malawi,England,Pool,MVULA Joyce,GS,GS,GS,GS,61,19,22,86,2,2,,,,,1,,,3,,,3,,
6,Malawi,England,Pool,NGWIRA Loreen,,GK,GK,GK,32,,,,,,,5,,1,,3,4,5,9,,,,
6,Malawi,England,Pool,SIMTOWE Sindi,,,,,,,,,,,,,,,,,,,,,,,
6,Malawi,England,Pool,VINKHUMBO Towera Angela,GK,GD,GD,GD,57,,,,1,2,12,5,2,6,,,7,13,9,,2,,
7,Jamaica,South Africa,Pool,BECKFORD Shanice Horasha,GA,GA,GA,WA,53,15,18,83,15,24,23,2,1,,,,3,2,1,,2,,
7,Jamaica,South Africa,Pool,DEHANEY Kadie-ann Alicia,,,,GK,14,,,,,,,,,,,,,,,,,,
7,Jamaica,South Africa,Pool,DIXON-ROCHESTER Nicole,C,C,C,C,47,,,,22,31,2,3,2,4,,,2,9,1,,2,,1
7,Jamaica,South Africa,Pool,FOWLER Jhaniele Karyl,GS,GS,GS,,40,33,33,100,1,1,,,,1,2,,,,,,1,1,
7,Jamaica,South Africa,Pool,HEMMINGS Shadian Toni-ann,,,,C,10,,,,2,2,,,,,,,,1,1,,1,1,
7,Jamaica,South Africa,Pool,NELSON Shimona,,,GS,GS,20,14,14,100,,3,4,,,,,,1,,1,,2,,
7,Jamaica,South Africa,Pool,ROBINSON Rebekah Theresa,,,GA,GA,20,6,6,100,5,5,3,,,,,,,2,,,,,
7,Jamaica,South Africa,Pool,STERLING Shamera Shadae,GK,GK,GK,GD,60,,,,,,3,5,3,3,,,6,6,3,,1,,1
7,Jamaica,South Africa,Pool,THOMAS Adean Tamesha,,,WD,WD,30,,,,,,1,1,1,,,,,4,2,,,,
7,Jamaica,South Africa,Pool,WARD Jodi-Ann,WD,WD,,WD,31,,,,,,,3,,2,,,3,3,1,,,,
7,Jamaica,South Africa,Pool,WILLIAMS Khadijah Amoy,WA,WA,WA,WA,50,,,,17,19,12,,,1,,,3,2,,,,1,
7,Jamaica,South Africa,Pool,WILSON Latanya Amoy,GD,GD,GD,,45,,,,,,4,5,2,3,,3,2,2,3,,1,,
7,South Africa,Jamaica,Pool,CHAWANE Khanyisa,,C,C,C,45,,,,15,25,,1,1,,,,,2,1,,,,
7,South Africa,Jamaica,Pool,GRIESEL Izette,C,WA,,WA,45,,,,17,23,11,1,1,,,,2,3,,,,,
7,South Africa,Jamaica,Pool,MAWENI Phumza,GK,GK,GK,GK,46,,,,,,,1,1,2,,,4,13,3,,1,,
7,South Africa,Jamaica,Pool,MDAU Tshina,,,WD,,15,,,,,,2,,,,,,,3,,,,,
7,South Africa,Jamaica,Pool,MSOMI Bongiwe,WA,,WA,,30,,,,10,11,12,1,,1,,,2,5,,,1,,
7,South Africa,Jamaica,Pool,RADEMAN Lefebre,GA,GA,,GA,40,6,8,75,4,5,5,,,,,,,5,1,,2,,
7,South Africa,Jamaica,Pool,SMITH Nicola,GD,,,GK,20,,,,,,1,1,,2,,,2,1,4,,1,,
7,South Africa,Jamaica,Pool,TALJAARD Nichole,,,,,,,,,,,,,,,,,,,,,,,
7,South Africa,Jamaica,Pool,VAN DER BERG Elmere,,,GA,GA,30,13,15,87,2,2,10,,,,4,,1,1,1,,1,,
7,South Africa,Jamaica,Pool,VAN DER MERWE Shadine,WD,WD,GD,WD,59,,,,,,10,2,1,,,1,3,6,4,,,,
7,South Africa,Jamaica,Pool,VENTER Ine-Mari,GS,GS,GS,GS,60,30,36,83,1,1,,,,1,1,,,3,,,3,,
7,South Africa,Jamaica,Pool,VIMBELA Zanele,,GD,,GD,30,,,,,1,2,,,1,,,,3,3,,,,
8,New Zealand,Uganda,Pool,CRAMPTON Gina,WA,WA,WA,WA,47,,,,19,26,15,,,1,,,2,,,,1,,
8,New Zealand,Uganda,Pool,FITZPATRICK Sulu,,GD,GK,GD,45,,,,,,2,1,1,,,,1,3,,,,,
8,New Zealand,Uganda,Pool,HEFFERNAN Kate,WD,WD,WD,WD,30,,,,,,2,1,1,,,,,7,1,,,,
8,New Zealand,Uganda,Pool,JOHNSON Kayla,,WD,WD,WD,30,,,,,,4,,,1,,,,6,,,,,
8,New Zealand,Uganda,Pool,JURY Kelly,GK,GK,GK,GK,45,,,,,,,4,1,1,,3,4,6,5,,,,
8,New Zealand,Uganda,Pool,KARAKA Phoenix,GD,GD,GD,GD,30,,,,,,4,1,,,,1,,4,4,,,,
8,New Zealand,Uganda,Pool,MES Bailey,,,GA,WA,28,,,,7,10,9,,,3,,,1,1,2,,,,
8,New Zealand,Uganda,Pool,NWEKE Grace,GS,GS,GS,GS,45,32,37,86,,,,1,,,5,,1,,,,2,,
8,New Zealand,Uganda,Pool,SAUNDERS Shannon,,,C,C,22,,,,6,7,,,,1,,,1,,,,,,1
8,New Zealand,Uganda,Pool,SELBY-RICKIT Te Paea,GA,GA,,GA,30,7,8,88,6,6,9,,,,1,,4,,,,1,,
8,New Zealand,Uganda,Pool,SOUNESS Whitney,C,C,C,C,38,,,,10,16,,,,,,,1,3,3,,,,
8,New Zealand,Uganda,Pool,WILSON Maia,,GA,GS,GS,30,14,15,93,4,4,,,,,,,1,,,,2,,
8,Uganda,New Zealand,Pool,ACHAN Jesca,C,C,C,C,60,,,,16,32,,,,,,,,5,2,,1,1,
8,Uganda,New Zealand,Pool,BAAGALA Margret,,,,,,,,,,,,,,,,,,,,,,,
8,Uganda,New Zealand,Pool,CHOLHOK Mary Nuba,,,GS,GS,30,19,22,86,,,,,,,1,,,,,,,,
8,Uganda,New Zealand,Pool,EYARU Irene,GA,GA,GA,GA,60,16,21,76,2,3,11,,,1,1,,3,3,2,,4,,
8,Uganda,New Zealand,Pool,HANIISHA Muhameed Nakaate,,,,,,,,,,,,,,,,,,,,,,,
8,Uganda,New Zealand,Pool,LUNKUSE Norah,,,,,,,,,,,,,,,,,,,,,,,
8,Uganda,New Zealand,Pool,NALWANJA Shaffie,GK,GK,GK,GK,60,,,,,,,2,1,3,,,4,11,4,,1,,
8,Uganda,New Zealand,Pool,NAMBIRIGE Sandra Ruth,WD,WD,WD,WD,60,,,,,,15,3,3,3,,,,10,4,,,,
8,Uganda,New Zealand,Pool,NAMPUNGU Joan,GD,GD,GD,GD,60,,,,,,16,2,,5,,,5,10,6,,1,,1
8,Uganda,New Zealand,Pool,NASSANGA Shadiah Ssegujja,,,,,,,,,,,,,,,,,,,,,,,
8,Uganda,New Zealand,Pool,OYELLA Stella,WA,WA,WA,WA,60,,,,22,39,4,,,,,,2,3,,1,1,,
8,Uganda,New Zealand,Pool,PEACE Proscovia,GS,GS,GS,,30,5,8,63,,1,,,,,1,,,,,,1,,
9,Malawi,Northern Ireland,Pool,CHIMALIRO Jane,,,,GA,17,4,4,100,,,1,,,,,,1,2,,,,,
9,Malawi,Northern Ireland,Pool,DAMBO Martha,WD,WD,WD,WD,46,,,,,1,3,6,5,1,,,1,11,2,,,,
9,Malawi,Northern Ireland,Pool,DIMBA Shira,,,,WD,16,,,,,,4,,,1,,,1,3,1,,,,
9,Malawi,Northern Ireland,Pool,GALLETA Thandie Mwale,C,C,WA,WA,49,,,,13,17,10,,,,,,1,1,3,,1,,
9,Malawi,Northern Ireland,Pool,KUMWENDA Bridget,WA,WA,WA,,31,,,,3,5,4,,,,,,,,2,,1,,
9,Malawi,Northern Ireland,Pool,KUMWENDA Mwai Jasinta,GA,GS,GS,GS,47,29,32,91,4,6,7,,,,1,,,4,,,,,
9,Malawi,Northern Ireland,Pool,LWAZI Takondwa,C,,C,C,45,,,,20,28,,1,1,,,,,,2,,1,,
9,Malawi,Northern Ireland,Pool,MTUKULE Caroline Brighton,GD,GD,GD,GD,45,,,,3,2,12,2,,1,,,4,6,5,,,,
9,Malawi,Northern Ireland,Pool,MVULA Joyce,GS,GS,,GS,37,15,19,79,2,3,,,,,2,,,3,,,1,,
9,Malawi,Northern Ireland,Pool,NGWIRA Loreen,,,,,,,,,,,,,,,,,,,,,,,
9,Malawi,Northern Ireland,Pool,SIMTOWE Sindi,,GA,GA,GA,25,6,6,100,7,9,2,,,,,,,,,,,,
9,Malawi,Northern Ireland,Pool,VINKHUMBO Towera Angela,GK,GK,GK,GK,61,,,,,,,7,4,7,,1,6,8,6,,,,1
9,Northern Ireland,Malawi,Pool,BOWMAN Jenna,,,GS,GS,9,1,3,33,,,,,,,,,,,,,,,
9,Northern Ireland,Malawi,Pool,COOPER Niamh,WD,WD,C,C,60,,,,4,7,4,3,1,2,,,2,1,3,,1,,1
9,Northern Ireland,Malawi,Pool,CROSBIE Ciara,GS,GS,GA,GA,53,18,22,82,1,3,7,,,,1,,1,2,1,,1,,
9,Northern Ireland,Malawi,Pool,DRAYNE Michelle,WA,WA,C,,43,,,,10,20,9,,,,,,,3,,1,2,,
9,Northern Ireland,Malawi,Pool,KEENAN Frances,,,,WD,,,,,,,,,,,,,,,,,,,
9,Northern Ireland,Malawi,Pool,MAGEE Emma,GA,GA,GS,GS,58,22,27,81,5,10,9,1,1,,2,,3,5,,,,,
9,Northern Ireland,Malawi,Pool,MAGEE Michelle,GK,GK,GK,GD,58,,,,,,,,,,,,1,7,3,,,,
9,Northern Ireland,Malawi,Pool,MCCANN Maria,,,,GD,2,,,,,,,,,,,,,,2,,,,
9,Northern Ireland,Malawi,Pool,MCDONALD Olivia,,,GD,GK,17,,,,,,,,,1,,,1,2,8,,,,
9,Northern Ireland,Malawi,Pool,MCGRATH Georgie,,,,,,,,,,,,,,,,,,,,,,,
9,Northern Ireland,Malawi,Pool,O'HANLON Caroline,C,C,WA,WA,60,,,,14,30,7,,,2,,,,10,1,,1,,
