matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
22,Northern Ireland,Uganda,Pool,O'HANLON Caroline,C,C,WA,WA,52,,,,7,21,11,,,2,,,1,5,6,,,,
22,Northern Ireland,Uganda,Pool,TONER Fionnuala,GD,GD,WD,WD,52,,,,,,,2,1,1,,1,1,9,2,,,,
23,Scotland,Barbados,Pool,BARRIE Emma,,,GS,GS,30,20,25,80,,,,,,,1,,,1,1,,,,
23,Scotland,Barbados,Pool,BOYLE Kelly,,,C,C,30,,,,11,13,,1,1,,,,1,2,,,,,
23,Scotland,Barbados,Pool,CHRISTIAN Iona,WA,WA,WA,,30,,,,15,26,14,1,1,,,,1,3,,,1,,
23,Scotland,Barbados,Pool,CONWAY Rachel Olive,,,GK,GK,30,,,,,,,4,2,,,2,2,5,,,1,,
23,Scotland,Barbados,Pool,GOODWIN Beth,GS,GS,GS,GA,45,30,34,88,9,12,4,1,1,,1,,2,5,1,,,,
23,Scotland,Barbados,Pool,LEIGHTON Hannah,C,C,C,WD,45,,,,15,22,,2,2,1,,,2,3,,,1,,1
23,Scotland,Barbados,Pool,LOVE Emma,,,WA,WA,30,,,,12,19,13,,,,,,2,3,1,,2,,
23,Scotland,Barbados,Pool,MACPHAIL Sarah,,,WD,GD,30,,,,,,1,,,2,,,,3,2,,,,
23,Scotland,Barbados,Pool,MAXWELL Claire,WD,WD,WD,,30,,,,,,2,1,1,,,,,5,1,,,,
23,Scotland,Barbados,Pool,MCCALL Niamh,GA,GA,GA,GA,45,22,25,88,10,13,12,2,2,,,,3,5,,,1,,
23,Scotland,Barbados,Pool,NICHOLL Emily,GD,GD,GD,GD,45,,,,,,4,5,4,2,,1,2,11,1,,,,
23,Scotland,Barbados,Pool,TAIT Lauren,GK,GK,GK,,30,,,,,,,2,,1,,1,6,5,2,,,,
23,Barbados,Scotland,Pool,AGARD Faye Yvette,,GS,GS,GS,41,19,23,83,,1,,,,1,1,,,4,1,,2,,
23,Barbados,Scotland,Pool,AZORE-BRUCE Shonette Teshome Rashan,GK,GK,GK,GK,60,,,,,,,8,1,7,,5,5,9,9,,1,,1
23,Barbados,Scotland,Pool,BLACKMAN Latonia Natasha Carolann,GA,WA,WA,GA,60,,,,11,14,7,,,,,,,,,,1,1,1
23,Barbados,Scotland,Pool,BOBB Vanessa Naomi,WD,,,WD,18,,,,,,2,,,,,,2,4,1,,,,
23,Barbados,Scotland,Pool,BROWNE Samantha Terri-ann Olivia,WD,WD,WD,WA,33,,,,2,3,8,,,,,,,3,,,1,1,
23,Barbados,Scotland,Pool,HOLDER Brianna Makala,WA,GA,GA,GA,53,4,6,67,3,6,6,1,,,,,2,7,,,3,,
23,Barbados,Scotland,Pool,KIRTON Zakiya Winet,,,,,,,,,,,,,,,,,,,,,,,
23,Barbados,Scotland,Pool,ROCK-YAW Tonisha Claradine,C,C,WD,GD,43,,,,2,3,9,,,2,,,2,9,3,1,3,1,1
23,Barbados,Scotland,Pool,SHEPHERD Stephian Onesia Briana,C,C,,,14,,,,3,4,,,,,,,,1,,,,,1
23,Barbados,Scotland,Pool,SMITH Sabreena Natasha,,,C,C,30,,,,4,6,,,,,,,1,3,,,,,
23,Barbados,Scotland,Pool,STOUTE Akeena Kelicia,GD,GD,GD,GD,49,,,,,,7,3,2,3,,1,,5,8,,,,
23,Barbados,Scotland,Pool,WHARTON Shonica Deandra,GS,GS,,,19,5,8,63,,,,,,,,,,1,,,,,
24,Malawi,Trinidad and Tobago,Pool,CHIMALIRO Jane,,GA,GA,GA,45,16,16,100,6,9,17,2,2,,1,,3,3,,1,1,,
24,Malawi,Trinidad and Tobago,Pool,DAMBO Martha,WD,WD,WD,WD,60,,,,,,3,5,2,1,,,4,9,,,,,
24,Malawi,Trinidad and Tobago,Pool,DIMBA Shira,,,,C,15,,,,3,5,,,,1,,,,2,,,,,
24,Malawi,Trinidad and Tobago,Pool,GALLETA Thandie Mwale,C,C,C,WA,50,,,,26,26,1,1,1,2,,,2,5,,,1,,
24,Malawi,Trinidad and Tobago,Pool,KUMWENDA Bridget,WA,WA,WA,WA,45,,,,19,27,11,,,1,,,2,4,2,,,,
24,Malawi,Trinidad and Tobago,Pool,KUMWENDA Mwai Jasinta,GS,GS,GS,,30,27,28,96,2,2,,,,1,,,1,1,,,1,,
24,Malawi,Trinidad and Tobago,Pool,LWAZI Takondwa,,,,,,,,,,,,,,,,,,,,,,,
24,Malawi,Trinidad and Tobago,Pool,MTUKULE Caroline Brighton,GD,GD,GD,GD,54,,,,2,3,4,2,,3,,1,5,4,2,,1,,
24,Malawi,Trinidad and Tobago,Pool,MVULA Joyce,,,GS,GS,30,22,26,85,,1,,,,,1,,2,2,,,2,,
24,Malawi,Trinidad and Tobago,Pool,NGWIRA Loreen,,,GK,GK,21,,,,,,,,,2,,,,1,4,,,,
24,Malawi,Trinidad and Tobago,Pool,SIMTOWE Sindi,GA,GA,,GA,25,5,6,83,6,7,7,,,,,,2,2,,,,,1
24,Malawi,Trinidad and Tobago,Pool,VINKHUMBO Towera Angela,GK,GK,GD,GD,45,,,,,,1,7,5,2,,1,1,5,6,,,,
24,Trinidad and Tobago,Malawi,Pool,BAPTISTE Aniecia,WD,GD,GD,GD,60,,,,,,15,1,,6,,,3,14,5,,1,,
24,Trinidad and Tobago,Malawi,Pool,BRUNO Tia,,,,WD,15,,,,,,,,,1,,,1,1,1,,,,
24,Trinidad and Tobago,Malawi,Pool,CASSIMY Janeisha,WA,WD,WD,C,34,,,,4,6,1,,,,,,1,4,,,1,,1
24,Trinidad and Tobago,Malawi,Pool,COOPER Joelisa,GA,,GS,GA,39,2,4,50,7,9,4,,,,,,1,2,,,2,,1
24,Trinidad and Tobago,Malawi,Pool,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
24,Trinidad and Tobago,Malawi,Pool,DOUGLAS Oprah,C,,C,C,24,,,,6,6,,,,,,,1,4,,,1,,
24,Trinidad and Tobago,Malawi,Pool,GREENE Shaquanda,GK,GK,GK,GK,60,,,,,,,3,,7,,1,5,15,5,,,,
24,Trinidad and Tobago,Malawi,Pool,HAGLEY Faith,C,C,C,C,31,,,,5,9,,1,1,,,,,2,,,,,
24,Trinidad and Tobago,Malawi,Pool,HOLLINGSWORTH Tahirah,GA,GA,WA,WA,36,5,9,56,4,5,2,,,,,,3,,,,2,1,
24,Trinidad and Tobago,Malawi,Pool,MCEACHRANE Jeresia,GD,WD,WD,WD,25,,,,,,3,1,,3,,,1,2,4,,,,
24,Trinidad and Tobago,Malawi,Pool,NOEL Afeisha,GS,GS,GA,GS,60,23,26,88,1,1,,,,,5,,,3,,,1,,
24,Trinidad and Tobago,Malawi,Pool,SEEMUNGAL Shantel,WA,WA,WA,WA,36,,,,1,10,9,,,,,,1,,,,2,,1
25,Australia,Jamaica,Pool,ARYANG Sunday,,GD,GD,,4,,,,,,,,,,,,,,,,,,
25,Australia,Jamaica,Pool,AUSTIN Kiera,,,,,,,,,,,,,,,,,,,,,,,
25,Australia,Jamaica,Pool,BRAZILL Ashleigh,WD,WD,WD,WD,60,,,,,,2,,,,,,1,6,2,,,,
25,Australia,Jamaica,Pool,BRUCE Courtney,GK,GK,GK,GD,60,,,,,,,2,1,4,,,5,9,6,,,,1
25,Australia,Jamaica,Pool,BUETA Gretel,GS,GS,GS,GS,60,36,39,92,,,,,,,2,,,1,,,4,,
25,Australia,Jamaica,Pool,HADLEY Paige,,,,,,,,,,,,,,,,,,,,,,,
25,Australia,Jamaica,Pool,KLAU Sarah,,,,GK,4,,,,,,,,,,,,,2,,,,,
25,Australia,Jamaica,Pool,KOENEN Cara,,,,,,,,,,,,,,,,,,,,,,,
25,Australia,Jamaica,Pool,MOLONEY Kate,C,C,C,C,60,,,,11,22,,1,,,,,3,8,1,,,,
25,Australia,Jamaica,Pool,WATSON Liz,WA,WA,WA,WA,60,,,,26,42,30,,,5,,,2,7,2,,1,,
25,Australia,Jamaica,Pool,WESTON Joanna,GD,GD,GD,GD,52,,,,,,3,2,1,,,,2,7,5,,1,,
25,Australia,Jamaica,Pool,WOOD Steph,GA,GA,GA,GA,60,19,22,86,15,18,20,1,,,,,4,1,3,,2,,
25,Jamaica,Australia,Pool,BECKFORD Shanice Horasha,GA,GA,GA,GA,60,10,10,100,18,20,28,1,1,1,,,,2,,,1,,
25,Jamaica,Australia,Pool,DEHANEY Kadie-ann Alicia,,,,,,,,,,,,,,,,,,,,,,,
25,Jamaica,Australia,Pool,DIXON-ROCHESTER Nicole,C,C,C,C,60,,,,23,34,,,,,,,,9,3,,2,1,
25,Jamaica,Australia,Pool,FOWLER Jhaniele Karyl,GS,GS,GS,GS,60,47,50,94,,,,1,1,,1,,,3,,,1,,
